Wave	PROMISSAO_Agua_1_vs_Agua_1	PROMISSAO_Amostra_P03_vs_Agua_1	PROMISSAO_Amostra_P19_vs_Agua_1	PROMISSAO_Amostra_P18_vs_Agua_1	PROMISSAO_Amostra_P11_vs_Agua_1	PROMISSAO_Amostra_P14_vs_Agua_1	PROMISSAO_Amostra_P14_vs_Agua_1.1	PROMISSAO_Agua_2_vs_Agua_1	PROMISSAO_Amostra_P13_vs_Agua_1A	PROMISSAO_Amostra_P12_vs_Agua_1A	PROMISSAO_Amostra_P01_vs_Agua_1A	PROMISSAO_Amostra_P07_vs_Agua_1A	PROMISSAO_Amostra_P22_vs_Agua_1A	PROMISSAO_Amostra_P08_vs_Agua_1A	PROMISSAO_Agua_5_vs_Agua_4
263	-0.00016	0.826739	0.871557	0.835369	0.858797	0.840676	0.840676	0.00099975	0.864041	0.829341	0.822156	0.858697	0.835407	0.861072	0.000245333
264	-0.00016	0.817667	0.863372	0.826434	0.849983	0.832147	0.832147	0.00098975	0.855596	0.820822	0.813837	0.849685	0.82676	0.852359	0.000247333
265	-0.000115	0.808582	0.855152	0.8174	0.841115	0.823514	0.823514	0.00098275	0.847032	0.812129	0.805462	0.840586	0.81801	0.843495	0.000219
266	-0.000107	0.799246	0.84664	0.808041	0.832046	0.814663	0.814663	0.00100325	0.838159	0.803281	0.796835	0.831342	0.808951	0.834345	0.000231
267	-6e-05	0.789699	0.837868	0.798403	0.82265	0.805605	0.805605	0.00103075	0.828956	0.794003	0.787867	0.821786	0.799632	0.824863	0.000254333
268	-9.4e-05	0.779963	0.828843	0.788541	0.813042	0.796378	0.796378	0.00104925	0.819683	0.784625	0.778715	0.812097	0.790165	0.815296	0.000271333
269	-0.000114	0.770108	0.81963	0.778507	0.803207	0.786904	0.786904	0.00103525	0.810242	0.774987	0.769473	0.802196	0.780556	0.805562	0.000275667
270	-0.000123	0.760027	0.810118	0.76829	0.793133	0.777203	0.777203	0.00102725	0.800575	0.765209	0.759912	0.792045	0.770619	0.795539	0.000229333
271	-8.5e-05	0.74957	0.800153	0.75773	0.78276	0.767127	0.767127	0.001003	0.790424	0.755024	0.749849	0.781424	0.760242	0.785129	0.000202667
272	-0.000146	0.738714	0.789858	0.746857	0.772126	0.756772	0.756772	0.00097125	0.7801	0.744645	0.7395	0.770539	0.749692	0.77446	0.000179667
